,id,finishingType,readyToMove,IsCompound,npv,npvPerMeter,totalPrice,pricePerMeter,deliveryMonth,deliveryYear,IsPrimarySale,hasRealEstateFinancing,unitType,bua,bedrooms,bathrooms,land,garage,city.nameEnglish,district.nameEnglish,region.nameEnglish,compound.nameEnglish,developer.nameEnglish,financialPlan.downPayment,financialPlan.numberOfYears,financialPlan.monthlyPayment,Calculated Price
369,618824a51fddc365530d5552,0,0,1,7950000,24844,7950000,24844,9,2022,0,0,8,320,4,5,370,1,1,0,Greater Cairo,O West,Orascom Development,7950000,0,0,11000000
424,61d1964e61795c05c0c0ff31,1,1,1,3900000,12188,3900000,12188,1,2021,0,1,1,320,4,4,320,0,3,22,Matrouh,Hacienda Bay,Palm Hills,3900000,0,0,4000000
5,613e04f0dc6dbdfee887a150,1,1,1,10300000,32188,10300000,32188,1,2021,0,0,7,320,4,4,340,1,0,14,Greater Cairo,Mivida,Emaar Misr,10300000,0,0,5500000
788,6141fe682c16f3c4e1a28e65,1,1,1,9500000,29688,9500000,29688,9,2021,0,0,7,320,3,4,300,1,0,14,Greater Cairo,Mivida,Emaar Misr,9500000,0,0,5500000
712,6188387e83b9d1093bde3b75,1,1,1,9200000,28750,9200000,28750,4,2021,0,0,7,320,3,4,315,1,0,14,Greater Cairo,Mivida,Emaar Misr,9200000,0,0,5500000
674,618d17d650988ed12f693c8b,1,1,0,4500000,14062,4500000,14062,3,2021,0,0,7,320,3,3,380,1,1,20,Greater Cairo,,,4500000,0,0,7000000
203,61cc55637f3ac73df7fc857c,1,1,1,2850000,8906,2850000,8906,1,2021,0,1,1,320,3,2,320,0,3,22,Matrouh,Hacienda Bay,Palm Hills,2850000,0,0,3700000
52,60e1a8692c6e77001369b0eb,1,1,1,10500000,32710,10500000,32710,6,2021,0,0,7,321,4,4,315,1,0,11,Greater Cairo,Uptown Cairo,Emaar Misr,10500000,0,0,5500000
272,619398809bb23202531fb87e,1,1,1,14000000,43614,14000000,43614,1,2021,0,0,8,321,5,5,628,1,3,16,Matrouh,Swan Lake North Coast,Hassan Allam Properties,14000000,0,0,15000000
663,6193a91250988ed12f6b36a3,1,1,1,14000000,43614,14000000,43614,1,2021,0,0,8,321,5,5,490,1,3,16,Matrouh,Swan Lake North Coast,Hassan Allam Properties,14000000,0,0,15000000
739,61bddcef63c3b38c0d3348f9,1,0,1,8590862,26763,23136888,72078,12,2022,1,0,7,321,4,5,498,1,0,11,Greater Cairo,Uptown Cairo,Emaar Misr,1850951,8,221729,6500000
238,61dee839b364ba6026d1ebe5,1,1,1,25000000,77640,25000000,77640,1,2021,0,0,8,322,5,5,463,1,3,22,Matrouh,Marassi,Emaar Misr,25000000,0,0,15000000
992,6187e7d41fddc365530d4895,0,1,1,4300000,13272,4300000,13272,9,2021,0,0,3,324,4,4,350,1,0,14,Greater Cairo,Mountain View Hyde Park,Mountain View,4300000,0,0,4600000
549,618bfaa650ac7c17e1ded1e0,0,1,1,7000000,21538,7000000,21538,1,2021,0,0,8,325,4,4,380,1,1,0,Greater Cairo,Palm Hills Golf Extension,Palm Hills,7000000,0,0,7000000
876,6194197550ac7c17e1e119f4,1,1,0,12000000,36923,12000000,36923,1,2021,0,0,8,325,5,4,925,1,0,14,Greater Cairo,,,12000000,0,0,6500000
387,6187de33b1a02b4ccce05628,1,1,1,10000000,30769,10000000,30769,5,2021,0,0,7,325,4,3,405,1,0,14,Greater Cairo,Mivida,Emaar Misr,10000000,0,0,10000000
505,6188ff1126deab16b7e24b4f,0,1,1,5500000,16871,5500000,16871,4,2021,0,0,7,326,4,5,318,1,0,14,Greater Cairo,Layan Residence,,5500000,0,0,11000000
899,6187ed5583b9d1093bde2ab8,1,1,1,13500000,41284,13500000,41284,6,2021,0,0,7,327,3,4,400,1,0,14,Greater Cairo,Hyde Park,HYDE PARK Development,13500000,0,0,16000000
983,618aa82f306b3be4d0199ab6,1,1,1,14000000,42813,14000000,42813,5,2021,0,0,8,327,3,3,400,1,0,14,Greater Cairo,Hyde Park,HYDE PARK Development,14000000,0,0,10000000
654,6193b16950988ed12f6b38d8,0,1,1,14500000,44207,14500000,44207,1,2021,0,0,8,328,4,4,650,1,3,22,Matrouh,Hacienda Bay,Palm Hills,14500000,0,0,7000000
161,603fa5188432c30011c65671,1,1,1,6600000,20000,6600000,20000,1,2020,0,0,7,330,4,3,380,1,1,0,Greater Cairo,Mena Garden City,mena group,6600000,0,0,7000000
364,6193fc7550ac7c17e1e1115f,0,1,1,5277642,15993,5277642,15993,1,2021,0,0,6,330,4,3,364,1,1,0,Greater Cairo,Joulz,INERTIA,5277642,0,0,7000000
261,6187f9d3a512754cac803761,1,1,0,4200000,12727,4200000,12727,5,2021,0,0,2,330,3,3,350,1,0,14,Greater Cairo,,,4200000,0,0,4500000
986,619670dcf112cc1c07a334ed,0,1,0,7000000,21212,7000000,21212,1,2021,0,0,8,330,4,4,730,1,0,9,Greater Cairo,,,7000000,0,0,9000000
614,61b9c8dfc7fd090e618f2981,1,1,1,7000000,21212,7000000,21212,11,2021,0,0,8,330,3,3,525,1,1,0,Greater Cairo,Al Yasmine Greenland,,7000000,0,0,7000000
759,618bc0969bb23202531d7c44,1,1,0,7000000,21212,7000000,21212,1,2021,0,0,0,330,4,4,330,1,0,8,Greater Cairo,,,7000000,0,0,4500000
853,6187e2ceceeafa6dccba7955,0,1,1,6500000,19697,6500000,19697,9,2021,0,0,8,330,4,5,424,1,1,0,Greater Cairo,Westridge,,6500000,0,0,11000000
257,618d38899bb23202531dd22a,1,1,0,1600000,4848,1600000,4848,3,2021,0,0,2,330,3,3,460,1,1,20,Greater Cairo,,,1600000,0,0,6000000
835,6187f219a512754cac8034af,1,1,1,14000000,42424,14000000,42424,3,2021,0,0,8,330,3,3,730,1,0,14,Greater Cairo,Seasons Residence,,14000000,0,0,6500000
359,6193b96650988ed12f6b3ab8,1,1,1,21000000,63444,21000000,63444,1,2021,0,0,8,331,4,4,530,1,0,11,Greater Cairo,Uptown Cairo,Emaar Misr,21000000,0,0,6500000
777,61c06b29a94cf2ddceea8709,0,0,1,5500000,16517,5500000,16517,6,2023,0,0,8,333,3,4,460,1,1,20,Greater Cairo,La Ville,,5500000,0,0,11000000
977,618d7c0a50ac7c17e1df53d8,0,1,1,4716500,14079,4716500,14079,1,2021,0,0,6,335,3,3,365,1,1,0,Greater Cairo,Joulz,INERTIA,4716500,0,0,7000000
75,60cf2754992dcd0012647205,1,1,0,12000000,35821,12000000,35821,12,2021,0,0,0,335,4,3,335,0,0,23,Greater Cairo,,,12000000,0,0,4500000
278,61bdca86e8828d387c3ef64f,1,1,1,5693934,16896,15334888,45505,6,2021,1,0,0,337,3,4,337,1,0,11,Greater Cairo,Uptown Cairo,Emaar Misr,1226791,8,146959,4500000
873,61b77470deb36dd027187000,1,0,1,6704545,19895,19111888,56712,3,2024,1,0,8,337,4,5,390,1,1,20,Greater Cairo,Cairo Gate,Emaar Misr,955594,8,189128,15000000
