id,finishingType,readyToMove,IsCompound,npv,npvPerMeter,totalPrice,pricePerMeter,deliveryMonth,deliveryYear,IsPrimarySale,hasRealEstateFinancing,unitType,bua,bedrooms,bathrooms,land,garage,city.nameEnglish,district.nameEnglish,region.nameEnglish,compound.nameEnglish,developer.nameEnglish,financialPlan.downPayment,financialPlan.numberOfYears,financialPlan.monthlyPayment
61c99c48a07c7a12e1189479,ff,1,1,3299999,23571,3299999,23571,1,2021,0,0,apartment,140,2,3,140,1,Cairo,New Cairo,Greater Cairo,Lake View Residence,,3299999,0,0
6193ce2d50ac7c17e1e1066e,ff,1,1,2100000,19091,2100000,19091,1,2021,0,0,chalet,110,2,2,110,1,Suez,Al Ain Al Sokhna,Red Sea,Stella Di Mare 1,,2100000,0,0
6141fef14d402eb02d75895f,ff,1,1,2650000,14324,2650000,14324,9,2021,0,0,apartment,185,3,3,185,1,Cairo,New Cairo,Greater Cairo,Village Gardens Katameya,sakneen temp,2650000,0,0
61939dfb9bb23202531fba07,ff,1,0,9500000,46569,9500000,46569,1,2021,0,0,apartment,204,3,3,204,0,Cairo,Zamalek,Greater Cairo,,,9500000,0,0
61bddcef63c3b38c0d3348f9,ff,0,1,8590862,26763,23136888,72078,12,2022,1,0,twin house,321,4,5,498,1,Cairo,Mokattam,Greater Cairo,Uptown Cairo,Emaar Misr,1850951,8,221729
61bddf97e963318ba6f23be8,ff,1,1,2687842,18285,7238888,49245,6,2021,1,0,apartment,147,2,3,147,1,Cairo,Mokattam,Greater Cairo,Uptown Cairo,Emaar Misr,579111,8,69373
61d18c0961795c05c0c0fc9e,ff,1,1,1900000,14504,1900000,14504,1,2021,0,0,apartment,131,3,2,0,1,Cairo,New Cairo,Greater Cairo,El Rehab Extension,talaat moustafa group,1900000,0,0
61a016efd289a101c7b9d029,ff,1,1,4200000,15328,4200000,15328,11,2021,0,0,villa,274,3,3,274,1,Giza,Sheikh Zayed City,Greater Cairo,Karma Residence,,4200000,0,0
619cfb546fd3115b3268f41d,ff,1,1,3850000,13750,3850000,13750,11,2021,0,1,chalet,280,5,4,280,0,North Coast,Sidi Abdel Rahman,Matrouh,Hacienda Bay,Palm Hills,3850000,0,0
618bc43a9bb23202531d7df7,ff,1,1,3150000,18000,3150000,18000,1,2021,0,0,apartment,175,3,2,175,1,Giza,6th October City,Greater Cairo,City View,,3150000,0,0
61bdc662e963318ba6f23764,ff,1,1,5312603,19461,14307888,52410,12,2021,1,0,apartment,273,3,4,273,1,Cairo,Mokattam,Greater Cairo,Uptown Cairo,Emaar Misr,1144631,8,137117
61dee4f0afc2199dc84096b2,ff,1,1,1850000,16818,1850000,16818,1,2021,0,0,chalet,110,2,2,210,0,North Coast,Sidi Abdel Rahman,Matrouh,Blumar North Coast,,1850000,0,0
618bbd389bb23202531d7b33,ff,1,1,1400000,2667,1400000,2667,1,2021,0,0,villa,525,6,6,620,1,Cairo,New Cairo,Greater Cairo,Hyde Park,HYDE PARK Development,1400000,0,0
61caf037400a5a9d20c142b5,ff,1,1,6700000,24815,6700000,24815,12,2021,0,0,duplex,270,3,3,360,0,Cairo,Mokattam,Greater Cairo,Uptown Cairo,Emaar Misr,6700000,0,0
6196998ff112cc1c07a35fa3,ff,1,0,1300000,12621,1300000,12621,1,2021,0,0,apartment,103,3,2,103,1,Cairo,Madinaty,Greater Cairo,,,1300000,0,0
6141dcb90be5ad2bf68a90b9,ff,1,1,3300000,17838,3300000,17838,9,2021,0,0,apartment,185,3,3,185,1,Cairo,New Cairo,Greater Cairo,Village Gardens Katameya,sakneen temp,3300000,0,0
618c1bab50988ed12f690db4,cs,1,1,1950000,11677,1950000,11677,1,2021,0,0,penthouse,167,3,3,167,1,Giza,6th October City,Greater Cairo,Mountain View Chill Out Park,Mountain View,1950000,0,0
61c326f24b94e78d4dfc713c,cs,1,0,1750000,9722,1750000,9722,11,2021,0,0,apartment,180,3,2,180,0,Giza,Sheikh Zayed City,Greater Cairo,,,1750000,0,0
61890eab26deab16b7e2506b,ff,1,1,2800000,23333,2800000,23333,11,2021,0,0,chalet,120,2,1,420,0,North Coast,Sidi Abdel Rahman,Matrouh,Blumar North Coast,,2800000,0,0
61967324d429fbcb38a4efa6,ff,1,0,1450000,12946,1450000,12946,1,2021,0,0,apartment,112,2,2,167,1,Cairo,Madinaty,Greater Cairo,,,1450000,0,0
61e04686b364ba6026d29772,ff,1,1,2000000,25316,2000000,25316,1,2021,0,0,chalet,79,2,2,79,0,North Coast,Al Alamein,Matrouh,Porto Marina,,2000000,0,0
61966609ddc2f08892459d51,cs,1,0,7000000,22082,7000000,22082,1,2021,0,0,villa,317,3,3,600,1,Cairo,Madinaty,Greater Cairo,,,7000000,0,0
61a8b2070ef7eff1c7f0e166,ff,1,1,720000,7579,720000,7579,12,2021,0,0,chalet,95,2,2,95,0,Suez,Al Ain Al Sokhna,Red Sea,Porto Sokhna,,720000,0,0
6190ec4e50ac7c17e1dfea18,ff,1,1,2500000,15432,2500000,15432,11,2021,0,0,apartment,162,3,3,162,1,Cairo,New Cairo,Greater Cairo,El Rehab Extension,talaat moustafa group,2500000,0,0
618bc0969bb23202531d7c44,ff,1,0,7000000,21212,7000000,21212,1,2021,0,0,apartment,330,4,4,330,1,Cairo,Maadi,Greater Cairo,,,7000000,0,0
61d1b04161795c05c0c10428,ff,1,1,2299998,16429,2299998,16429,1,2021,0,0,apartment,140,2,3,140,0,Cairo,New Cairo,Greater Cairo,Lake View Residence,,2299998,0,0
618910fe26deab16b7e2513e,cs,1,1,19000000,31353,19000000,31353,2,2021,0,0,villa,606,5,6,934,1,Cairo,New Cairo,Greater Cairo,Palm Hills New Cairo,Palm Hills,19000000,0,0
6191b1ac9bb23202531ed24c,cs,1,1,8800000,23467,8800000,23467,5,2021,0,0,town house,375,5,5,585,1,Giza,6th October City,Greater Cairo,Amberville,,8800000,0,0
61cc2f5f7f3ac73df7fc7d56,ff,0,1,2355000,15805,2355000,15805,1,2022,0,0,apartment,149,2,3,149,1,Cairo,New Cairo,Greater Cairo,Mivida,Emaar Misr,2355000,0,0
61b64aaadeb36dd027183fee,ff,0,1,10435706,36362,29747888,103652,6,2024,1,0,apartment,287,3,4,287,1,North Coast,Sidi Abdel Rahman,Matrouh,Marassi,Emaar Misr,1487394,8,294380
61dbfff5fc02a46ce2c5c843,ff,1,1,4600000,19658,4600000,19658,1,2021,0,1,apartment,234,4,3,354,1,Giza,Sheikh Zayed City,Greater Cairo,Casa,Palm Hills,4600000,0,0
61c088a2a94cf2ddceea8a33,cs,1,1,11949999,34143,11949999,34143,1,2021,0,0,villa,350,4,5,850,1,Giza,Sheikh Zayed City,Greater Cairo,Al Karma 4,,11949999,0,0
61ade8c0b34ca05f7abab9fc,cs,1,1,3300000,13469,3300000,13469,11,2021,0,1,duplex,245,3,3,203,1,Giza,Sheikh Zayed City,Greater Cairo,Casa,Palm Hills,3300000,0,0
61881d241fddc365530d5458,ff,1,1,3700000,20556,3700000,20556,6,2021,0,0,villa,180,3,3,500,1,North Coast,Al Alamein,Matrouh,La Vista Cascada,la vista developments,3700000,0,0
618fe7ba9bb23202531e6eaa,ff,1,1,4100000,23429,4100000,23429,3,2021,0,0,apartment,175,2,3,175,1,Giza,6th October City,Greater Cairo,Westridge,,4100000,0,0
61cc874661795c05c0bf663f,cs,1,0,2204000,10396,2204000,10396,12,2021,0,0,apartment,212,3,3,212,0,Cairo,New Cairo,Greater Cairo,,,2204000,0,0
61efe6a7e8c44787366566a7,ff,1,0,800000,800000,800000,800000,1,2021,0,0,apartment,1,3,1,1,0,Cairo,Heliopolis - Masr El Gedida,Greater Cairo,,,800000,0,0
618d172450988ed12f693c3d,cs,1,1,3628000,11703,3628000,11703,1,2021,0,0,town house,310,4,4,255,1,Giza,6th October City,Greater Cairo,Joulz,INERTIA,3628000,0,0
618d180a9bb23202531dc2fc,ff,0,1,5250000,20428,5250000,20428,6,2022,0,0,apartment,257,3,4,257,1,Giza,6th October City,Greater Cairo,Brix,INERTIA,5250000,0,0
619d0916c3ac9556cc8c5d03,ff,1,1,2600000,14286,2600000,14286,11,2021,0,0,apartment,182,3,3,0,1,Cairo,New Cairo,Greater Cairo,El Rehab Extension,talaat moustafa group,2600000,0,0
61a6af19694e8021c562ca15,ff,1,1,4000000,10000,4000000,10000,11,2021,0,0,duplex,400,5,5,400,1,Giza,Sheikh Zayed City,Greater Cairo,Al Joman,,4000000,0,0
61890a46a0af6f15abf1898f,ff,1,1,6700000,35263,6700000,35263,3,2021,0,0,town house,190,3,3,290,1,Cairo,New Cairo,Greater Cairo,Mivida,Emaar Misr,6700000,0,0
61c06b29a94cf2ddceea8709,cs,0,1,5500000,16517,5500000,16517,6,2023,0,0,villa,333,3,4,460,1,Giza,Sheikh Zayed City,Greater Cairo,La Ville,,5500000,0,0
618b172d306b3be4d019ae4f,ff,1,1,4500000,24590,4500000,24590,4,2021,0,0,apartment,183,3,2,183,1,Giza,6th October City,Greater Cairo,Westridge,,4500000,0,0
6193fac550988ed12f6b4984,ff,1,1,47500000,66901,47500000,66901,1,2021,0,0,villa,710,4,5,1090,1,Cairo,Mokattam,Greater Cairo,Uptown Cairo,Emaar Misr,47500000,0,0
618c0c2c50988ed12f6909cb,ff,1,1,2900000,24167,2900000,24167,1,2021,0,0,chalet,120,2,2,200,1,Suez,Al Ain Al Sokhna,Red Sea,La Vista 6,la vista developments,2900000,0,0
618be6d650988ed12f68ffc2,ff,1,1,3000000,25000,3000000,25000,11,2021,0,0,chalet,120,3,2,490,0,Suez,Al Ain Al Sokhna,Red Sea,Marina Wadi Degla,,3000000,0,0
61cc4c1561795c05c0bf5b21,ff,1,1,6900000,30804,6900000,30804,12,2021,0,0,town house,224,3,3,229,0,Cairo,New Cairo,Greater Cairo,Stone Park,,6900000,0,0
6141f3b82c16f3c4e1a28b64,cs,1,1,1400000,11200,1400000,11200,1,2021,0,0,apartment,125,2,3,125,1,Cairo,New Cairo,Greater Cairo,Hyde Park,HYDE PARK Development,1400000,0,0
618d7f0c9bb23202531e113d,ff,1,1,1850000,9946,1850000,9946,1,2021,0,0,apartment,186,3,2,186,1,Giza,6th October City,Greater Cairo,Hay El Ashgar,,1850000,0,0
6193943f50ac7c17e1e0f7dd,ff,1,1,16000000,26230,16000000,26230,1,2021,0,0,villa,610,5,5,520,1,Cairo,New Cairo,Greater Cairo,Katameya Hills,,16000000,0,0
61cc38b9c22766c33ea64c27,ff,0,1,2900000,32222,2900000,32222,1,2022,0,0,chalet,90,1,1,91,1,North Coast,New Alamein City,Matrouh,North Edge Towers,City Edge Developments ,2900000,0,0
61a72efec5fc8165ddfba349,cs,1,1,13000000,32500,13000000,32500,11,2021,0,0,villa,400,6,6,630,1,Giza,Sheikh Zayed City,Greater Cairo,Jeera,,13000000,0,0
6141fe682c16f3c4e1a28e65,ff,1,1,9500000,29688,9500000,29688,9,2021,0,0,twin house,320,3,4,300,1,Cairo,New Cairo,Greater Cairo,Mivida,Emaar Misr,9500000,0,0
61cc843bc22766c33ea659a8,ff,1,1,1499999,10000,1499999,10000,1,2021,0,0,town house,150,3,2,150,0,Suez,Al Ain Al Sokhna,Red Sea,Azha,MADAAR developments,1499999,0,0
61890cd2c9d894e71c0b3e39,ff,1,1,1900000,13571,1900000,13571,11,2021,0,0,chalet,140,3,2,140,0,Suez,Al Ain Al Sokhna,Red Sea,Blumar Ain Sokhna,,1900000,0,0
61882fda83b9d1093bde3a2c,ff,1,1,2200000,9362,2200000,9362,4,2021,0,0,apartment,235,4,3,235,1,Cairo,New Cairo,Greater Cairo,District 5,Marakez developer,2200000,0,0
618820f91fddc365530d54d3,ff,1,1,2850000,13835,2850000,13835,5,2021,0,0,apartment,206,3,3,206,1,Cairo,New Cairo,Greater Cairo,Hyde Park,HYDE PARK Development,2850000,0,0
61c9d5ff8f62bc5866aa422f,ff,1,1,1899998,13380,1899998,13380,1,2021,0,0,apartment,142,2,3,142,1,Cairo,New Cairo,Greater Cairo,Lake View Residence,,1899998,0,0
6193f9ca9bb23202531fd074,ff,1,0,3200000,13913,3200000,13913,1,2021,0,0,apartment,230,3,2,230,0,Cairo,Garden City,Greater Cairo,,,3200000,0,0
61c9aee883191bdf74b2df02,ff,1,1,4200000,15672,4200000,15672,1,2021,0,0,apartment,268,3,3,268,1,Cairo,New Cairo,Greater Cairo,Lake View Residence,,4200000,0,0
